APMC,Commodity,Year,date,modal_price,Type,msprice,fluctuation,Relative_fluctuation
Indapur (Nimgaon Ketki),Bajri,2016,2016-03,1613,Kharif Crops,1330.0,213,15
Nandura,Wheat(Husked),2015,2015-07,1544,Rabi Crops,1525.0,213,15
Dudhani,Sorgum(Jawar),2016,2016-04,1987,Kharif Crops,1650.0,213,12
Satana,Maize,2016,2016-11,1170,Kharif Crops,1365.0,213,19
Aurangabad,Maize,2014,2014-12,965,Kharif Crops,1310.0,213,23
Sangamner,Wheat(Husked),2014,2014-09,1537,Rabi Crops,1450.0,213,14
Jalna,Maize,2016,2016-02,1386,Kharif Crops,1365.0,213,16
Dudhani,Sorgum(Jawar),2015,2015-08,1843,Kharif Crops,1590.0,213,12
Akole,Maize,2016,2016-10,1463,Kharif Crops,1365.0,212,15
Indapur (Nimgaon Ketki),Sorgum(Jawar),2016,2016-09,1744,Kharif Crops,1650.0,212,13
Pusad,Sorgum(Jawar),2016,2016-07,1620,Kharif Crops,1650.0,212,13
Himayatnagar,Pigeon Pea (Tur),2016,2016-03,7228,Kharif Crops,4625.0,212,3
Kopargaon,Wheat(Husked),2014,2014-09,1569,Rabi Crops,1450.0,212,14
Khamgaon,Maize,2015,2015-05,1041,Kharif Crops,1325.0,212,21
Nanded,Pigeon Pea (Tur),2016,2016-05,8268,Kharif Crops,4625.0,212,3
Manora,Wheat(Husked),2016,2016-07,1688,Rabi Crops,,212,13
Sinner,Wheat(Husked),2015,2015-01,1722,Rabi Crops,1525.0,212,12
Aurangabad,Maize,2014,2014-11,988,Kharif Crops,1310.0,212,22
Amalner,Wheat(Husked),2016,2016-08,1826,Rabi Crops,,212,13
Karanja,Sorgum(Jawar),2016,2016-09,1508,Kharif Crops,1650.0,212,14
Mehkar,Wheat(Husked),2016,2016-04,1665,Rabi Crops,,212,13
Baramati,Maize,2015,2015-10,1505,Kharif Crops,1325.0,212,15
Alibag,Paddyunhusked,2015,2015-10,1686,Kharif Crops,1410.0,212,13
Nagbhid,Paddyunhusked,2016,2016-10,2262,Kharif Crops,1470.0,212,10
Karanja,Sorgum(Jawar),2015,2015-12,1380,Kharif Crops,1590.0,212,16
Karmala,Maize,2016,2016-08,1743,Kharif Crops,1365.0,212,13
Malkapur,Wheat(Husked),2016,2016-01,1679,Rabi Crops,,212,13
Devala,Bajri,2016,2016-10,1339,Kharif Crops,1330.0,212,16
Ashti (Jalna),Pigeon Pea (Tur),2015,2015-12,8261,Kharif Crops,4425.0,212,3
Yeola,Bajri,2016,2016-01,1467,Kharif Crops,1330.0,212,15
Rajura,Pigeon Pea (Tur),2016,2016-06,8033,Kharif Crops,4625.0,212,3
Jintur,Cotton,2015,2015-12,4275,Kharif Crops,3800.0,212,5
Patur,Wheat(Husked),2016,2016-05,1779,Rabi Crops,,212,13
Bhokar,Wheat(Husked),2016,2016-06,1604,Rabi Crops,,212,14
Sinner,Sorgum(Jawar),2015,2015-11,1455,Kharif Crops,1590.0,212,15
Sangamner,Wheat(Husked),2014,2014-11,1633,Rabi Crops,1450.0,212,14
Kada (Ashti),Bajri,2016,2016-09,1451,Kharif Crops,1330.0,212,15
Jafrabad,Cotton,2016,2016-11,4859,Kharif Crops,3860.0,212,5
Nagpur,Paddyunhusked,2016,2016-04,1926,Kharif Crops,1470.0,212,12
